,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
6922,0hJMcADyrl9cw6HQ1pcpjM,Avhath,Hymns,I. Blood Moon Rising,17,137000,False,0.0665,0.415,0,-4.905,1,0.167,0.00102,0.901,0.295,0.173,180.463,4,black-metal
100776,5rJw5e9UuPW0cHeqFmUTbl,Las manos de Filippi;Ana Tijoux,Sr Cobranza 25 Años,Sr Cobranza 25 Años,35,310009,True,0.721,0.834,11,-5.741,1,0.212,0.0905,0.0,0.3,0.694,92.03,4,ska
58261,24CeaRaJHiMKFAVZTCu8Y0,Mushroomhead,XIII,Sun Doesn't Rise,61,193813,False,0.376,0.988,5,-2.375,1,0.216,8.82e-05,6.36e-05,0.346,0.507,192.153,4,industrial
73465,56nTFRMXVGUFzJMha4rw3Y,Solomun;Jamie Foxx,Nobody Is Not Loved,Ocean (feat. Jamie Foxx),11,217835,False,0.797,0.384,10,-10.764,0,0.0481,0.0129,0.0428,0.0834,0.346,122.983,4,minimal-techno
101416,28Wnwp5FDBU0vzlU2BbKR0,Pink Noise,Pink Noise for Sleeping,Loopable Pink Noise Flowing Waters,57,216000,False,0.0,0.00066,8,-25.141,1,0.0,0.331,0.289,0.111,0.0,0.0,0,sleep
12228,0ZfyRCziS0cctpaQYTwCFi,my little airport,I ALSO DON'T KNOW (Live),詩歌舞街 - Live,32,195291,False,0.436,0.301,4,-12.831,1,0.0472,0.693,5.16e-06,0.703,0.28,125.605,4,cantopop
55111,7k6QR9YHyW258yVN6FHO1T,OAFF;Savera;Lothika;Kausar Munir,Gehraiyaan (Original Motion Picture Soundtrack),Doobey,64,219686,False,0.751,0.669,3,-6.532,0,0.0359,0.342,1.31e-05,0.0822,0.359,119.014,4,indian
15443,6w9JBWoCMaqUEG2XJT2SJJ,fenekot,Slowed + Reverb,That Way (Slowed + Reverb),51,117468,False,0.421,0.359,1,-10.406,1,0.0843,0.978,0.0503,0.279,0.463,169.517,3,chill
96815,2zQt5C0AIv27RhfJCRZdZ4,BaianaSystem,Duas Cidades,"Jah Jah Revolta, Pt. 2",38,309493,False,0.776,0.8,8,-4.704,0,0.0438,0.00631,0.0731,0.35,0.583,143.989,4,samba
68469,2EvrZ38B9uMg75OvyA58bu,Mariah Angeliq;Casper Magico,Esto me suena a Farra,Lo Prohibido,0,202560,False,0.83,0.679,8,-3.519,0,0.143,0.137,7.78e-05,0.0905,0.213,95.003,4,latino
94993,2hYpH6B9Y1cMwU4p9pwxa7,MC Virgins,Forever Virgins,Forever Virgins,51,159500,True,0.76,0.489,1,-14.288,1,0.108,0.507,0.0,0.181,0.884,92.99,4,sad
5081,4FelxMfZ4qBAq25djhKhcw,Samuel Kim,See You Again (Epic Orchestral Version),See You Again - Epic Orchestral Version,45,189219,False,0.578,0.429,10,-9.548,1,0.0262,0.687,0.906,0.113,0.148,144.032,4,anime
47361,1ogRu1dOUgHvel8To8oQbe,Dorothy,ROCKISDEAD,Wicked Ones,60,172516,False,0.587,0.635,5,-5.47,1,0.0377,0.0353,0.0,0.331,0.591,96.519,4,hard-rock
14576,5NZcKD2lKDVZiCFADvAyfh,Kidz Bop Kids,KIDZ BOP 2021,Savage Love,55,170239,False,0.597,0.666,3,-6.042,1,0.0807,0.133,1.23e-05,0.0578,0.698,149.888,4,children
53664,5teOR8KU4XNWY2WlVUDiIR,Loote;gnash,lost,85%,63,174106,False,0.574,0.651,7,-7.585,1,0.046,0.346,0.0,0.149,0.368,140.017,4,house
64088,7ad7ylxNmPqxmS8SJYEUeJ,Norah Jones,Calm Christmas,Peace - First Sessions Demo,0,233173,False,0.46,0.0414,10,-17.252,1,0.0414,0.978,0.00035,0.108,0.056,80.349,3,jazz
93816,1dPeJW9fBGGpbSd5JzM6bd,Vadim Kozin,Последний концерт,Локон матери,0,176413,False,0.463,0.0984,5,-18.007,0,0.151,0.971,3.94e-05,0.0753,0.335,166.172,4,romance
44456,3vIw7vxgUTPtppVwMfhcwo,Sick Puppies,Dressed Up As Life,All The Same,57,258586,False,0.311,0.76,0,-6.301,1,0.0364,0.000962,0.0,0.104,0.189,177.592,3,grunge
61264,5qHDrxU5RQGDaEIquC7jsn,BiSH,サンボマスター究極トリビュート ラブ フロム ナカマ,できっこないを やらなくちゃ,25,201866,False,0.282,0.934,11,-3.745,1,0.0887,8.44e-05,0.00309,0.168,0.389,176.01,4,j-idol
92081,74adYQI0h489FyVSc5EGfi,Brenda Lee,Best Christmas Playlist Ever 2022,Rockin' Around The Christmas Tree,0,123453,False,0.631,0.569,5,-5.956,0,0.0438,0.728,0.0,0.27,0.874,71.078,4,rockabilly
32386,0G51Gckb1jFoH0ZFaN49xN,Poshlaya Molly,ОЧЕНЬ СТРАШНАЯ МОЛЛИ 3 (Часть 1),ПОРНХАБ КРИСМАС КЛАБ,55,246743,True,0.72,0.677,2,-7.595,1,0.0917,0.0093,0.003,0.0566,0.229,110.026,4,electronic
19000,2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay;Justin Bieber,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",78,167693,False,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,4,country
14674,05pzS0FSe1uhhl13byfXY4,CoComelon,Halloween Party,The Magic Song,40,115285,False,0.816,0.498,7,-10.604,1,0.0269,0.592,0.0,0.0714,0.845,139.989,4,children
60892,0OIoPb1oOShO6pTbImvq2p,Rygin King;Gabeana,Energy,Energy,19,156447,True,0.686,0.773,0,-4.166,1,0.347,0.0687,0.0,0.0476,0.709,115.837,4,j-dance
86916,0GokcD2xruB7Qx3TUwzSIY,Patricio Rey y sus Redonditos de Ricota,Gulp!,"Pierre, El Vitricida",39,65440,False,0.544,0.799,0,-9.492,1,0.136,0.56,0.0246,0.0657,0.543,186.063,4,punk
26425,2IVab0m6jTd7uk224PrpV5,Raquel Ferreira,Frozen 2: O Reino do Gelo (Banda Sonora Original em Português/Deluxe Edition),Tudo Encontrarás,23,125680,False,0.239,0.231,5,-11.927,1,0.0344,0.909,0.000305,0.0796,0.0945,92.517,5,disney
30335,03FrsymZUDrFC3aBVrvKA1,MEDUZA;James Carter;Elley Duhé;FAST BOY,Ballermann Hits Party 2023,Bad Memories,0,148629,False,0.607,0.767,5,-6.069,0,0.0474,0.118,0.0,0.122,0.662,123.998,3,edm
29446,6fUyCEJju5st7aDoN1nDN0,Miles Away;braev,Heartless,Heartless,41,234324,False,0.467,0.644,6,-4.792,0,0.0382,0.182,0.0,0.0945,0.308,148.049,4,dubstep
85910,1LwP9g1Hjbs64jXM2Qsxry,The Jesus and Mary Chain,Psychocandy (Expanded Version),Just Like Honey,61,182493,False,0.341,0.552,8,-10.503,1,0.0423,8.02e-05,0.616,0.0591,0.486,121.361,4,punk-rock
98560,5t0rBwJ0ZeKAXkv0w35Kc3,Mark Seibert;Ana Milva Gomes,Musicalballads: Unplugged,Du bist meine Welt (Rudolf - Affaire Mayerling),23,294360,False,0.197,0.307,5,-8.735,1,0.036,0.773,0.0,0.313,0.168,80.805,3,show-tunes
20366,39bx4zZrPxTjw8VNuvjt6X,Akon;Vishal Dadlani;Shruti Pathak,Ra-One,Criminal,60,306503,False,0.701,0.966,0,-5.36,1,0.0568,0.063,0.0662,0.0761,0.834,132.015,4,dance
48364,4M6OJuXFOjf1mXZDcjG6L8,Rancore,Seiva,Mulher,32,237186,False,0.647,0.639,1,-7.324,1,0.0314,0.00698,1.24e-06,0.111,0.197,111.021,4,hardcore
94451,5RLDbZPiqULNl4cr17eoIV,Lund,Low,Low,57,233962,True,0.745,0.438,4,-7.018,0,0.0326,0.678,0.112,0.125,0.0409,119.99,4,sad
946,3ZoefygM1VYbvEYXXRNAY2,Violent Femmes,Add It Up (1981-1993),"Dance, Motherfucker, Dance!",27,197266,True,0.308,0.854,4,-8.006,1,0.0494,0.0593,0.00718,0.903,0.689,193.395,4,acoustic
66300,2ReTW3Hhwgt5ba3A5aBbKM,Pj Panda,"The New Nursery Rhymes, Vol. 1",Happy Birthday Song (Trap Remix),36,162000,False,0.755,0.66,10,-6.014,0,0.0432,0.00176,0.0,0.111,0.221,144.004,3,kids
98115,2KSGTavlWWB3QuKAIvC355,Serkan Kaya,Dağların Dumanı (Son Bir Kez),Dağların Dumanı - Son Bir Kez,33,263297,False,0.574,0.694,2,-6.211,0,0.0447,0.152,0.0,0.0956,0.332,94.104,5,show-tunes
84037,0RxS9ewuTiHP4qWLLoNERI,The Beach Boys,Silent Night,Little Saint Nick - 1991 Remix,0,118840,False,0.602,0.553,11,-9.336,1,0.0328,0.108,0.0,0.0512,0.971,130.594,4,psych-rock
44364,4BJyt25nburVwbnESDeIc7,Breaking Benjamin,We Are Not Alone,So Cold - Remix,63,273440,False,0.49,0.774,0,-5.436,0,0.0604,0.00305,8.16e-05,0.12,0.297,153.048,4,grunge
9350,3E7heceGl4ojbkWXyBiLSL,Charlie Brown Jr.,Me Namora,Céu Azul,48,198786,False,0.68,0.598,1,-6.147,0,0.027,0.61,0.0,0.106,0.62,120.09,4,brazil
66658,45R5rtT0KYMmqGK2dwnYR4,Kidsounds,Number Songs,Ten Green Bottles,17,226346,False,0.921,0.423,0,-9.389,1,0.0512,0.402,0.0,0.107,0.855,121.997,4,kids
14954,6Ol5sNWdayJesZ9E25MJIt,Super Simple Songs,Counting Songs for Kids,The Ants Go Marching,54,226451,False,0.945,0.574,11,-8.242,0,0.0534,0.497,0.0,0.0758,0.862,103.275,4,children
9027,4Lfod3ZkXkJBZZhw2cHKCk,Antônio Carlos Jobim,Ressaquinha,Neptune's Hep Tune,0,133506,False,0.548,0.412,5,-10.248,1,0.0333,0.807,0.934,0.127,0.325,79.512,4,brazil
83225,4KqA0GwEKbc96WyfIZn3SV,ARTY;Griff Clawson,Those Eyes,Those Eyes,67,162786,False,0.727,0.822,5,-4.481,0,0.0471,0.0698,0.000175,0.408,0.855,118.092,4,progressive-house
89149,5n5VSFQ1npojFIMUihcj33,KAROL G;J Balvin;Nicky Jam,Última Misión Reggaeton,Mi Cama - Remix,0,196320,False,0.815,0.784,9,-4.423,1,0.0738,0.299,0.0,0.0958,0.832,162.958,4,reggaeton
3726,3iiDWuaIzuGKZezHvQY4GA,Lil' Kim;The Notorious B.I.G.,Power Rap,Drugs,0,258359,True,0.77,0.649,6,-6.824,0,0.194,0.108,0.000683,0.134,0.522,84.012,4,alternative
13149,33svdBwJDTXYEURP7GHFMm,Mike Dunn,Defected Presents House Masters: Mike Dunn,Natural High - Mike Dunn Extended Black Glitter MixX,15,403550,False,0.59,0.797,9,-6.978,0,0.0598,3.76e-05,0.812,0.104,0.35,123.805,4,chicago-house
60912,0wi1ky0zqwG8195E4omWui,Bayka,1Uptown,1Uptown,55,137160,True,0.943,0.509,9,-8.207,1,0.248,0.0655,0.0,0.0805,0.579,112.017,4,j-dance
41349,0Av7W8Abdx761b2Ey5wo1u,Christian Death;R.Williams,Catastrophe Ballet (feat. R. Williams),The Drowning (feat. R. Williams),25,244960,True,0.592,0.6,2,-18.056,1,0.0504,0.0999,0.0141,0.393,0.304,121.734,4,goth
53550,4ga4WvRNhMsIL38pkBbnIN,Martin Garrix;Tove Lo,Pressure (feat. Tove Lo),Pressure (feat. Tove Lo),70,144391,False,0.859,0.558,7,-8.991,0,0.0902,0.659,0.324,0.124,0.357,114.978,4,house
8894,18ZUqcInoKBuIIrryOigrP,La Mississippi,Yo estuve ahi,El Detalle,34,229760,False,0.667,0.498,6,-12.629,1,0.0339,0.324,1.85e-06,0.913,0.814,110.934,4,blues
72262,2JeEIJFABPGktfB7tgQFX9,Periphery,Periphery IV: HAIL STAN,Reptile,44,1003746,True,0.277,0.91,7,-5.723,1,0.117,0.0012,0.000716,0.342,0.112,118.375,4,metalcore
30662,596lDSwIMzDoiq3E6jJ0wC,Cartoon;Asena,Howling,Howling,57,204549,False,0.568,0.72,9,-6.465,0,0.052,0.0338,0.164,0.22,0.472,173.959,4,edm
110701,5skawbzQY8Y8yKtPq8y897,Menumas,Stars,Stars,33,489931,False,0.71,0.535,0,-8.307,1,0.0649,0.0109,0.822,0.142,0.306,144.996,4,trance
19080,2intfvINZGxNvyMRZaC7mI,Cody Johnson,Country Christmas Time,Hat Made of Mistletoe,1,156346,False,0.598,0.943,2,-3.964,1,0.0347,0.0933,0.0,0.331,0.801,117.906,4,country
7802,6VfY0sgS4j4JpFQH8kk4XA,Watchhouse,Blindfaller,Wildfire,60,329893,False,0.648,0.352,4,-10.11,1,0.0278,0.692,0.262,0.106,0.173,121.461,4,bluegrass
85564,21hXxI1sacFLlxiS1kuBi0,Massacre,Ringo,El deseo,38,303531,False,0.531,0.821,11,-5.547,1,0.0275,0.00033,0.000474,0.317,0.321,114.031,4,punk-rock
43708,50uih9H4g4rBYoRrEcPUPj,Alex Spite,Snow Rain,Snow Rain,41,201057,False,0.844,0.593,9,-7.588,0,0.0613,0.00595,0.853,0.0813,0.513,119.997,4,groove
2246,0S51NLrTscfLemwPv2rjNv,No Doubt,Hits Pop Rock 90's,Just A Girl,1,205946,False,0.635,0.937,2,-2.86,1,0.0452,0.0735,6.95e-05,0.134,0.78,108.003,4,alt-rock
60373,1IuQ3eu4YlAaKkAXs6Rjvi,Vipa Music;Kenyaman,Bad Day,Bad Day,22,192748,True,0.637,0.303,1,-9.532,0,0.0905,0.193,0.0,0.155,0.202,50.68,3,j-dance
65817,2mgzUVvDpb1zMSB4glLQ6T,aespa,Life's Too Short,Life's Too Short (English Version),70,178133,False,0.472,0.8,0,-3.681,1,0.265,0.289,0.0,0.149,0.548,72.203,4,k-pop
45943,2uNzHTy6iLyzZhY1bDuuZ0,Jesse Rice,The Pirate Sessions,Sweet Kinda Summer,20,223680,False,0.499,0.784,8,-7.369,1,0.0357,0.382,0.0,0.0937,0.926,199.961,4,guitar
73734,5ylczvXq66th3ra7um4imD,Booka Shade,Little Treasure (Contour 3),Little Treasure (Contour 3),45,358133,False,0.719,0.85,11,-9.968,0,0.0489,0.0425,0.842,0.0541,0.293,124.999,4,minimal-techno
64052,5j5a0uWJly5tOvBZiFJbxA,Norah Jones,ZEN 2022,And Then There Was You,0,185586,False,0.471,0.0845,10,-20.204,1,0.0305,0.956,0.147,0.0825,0.149,84.608,3,jazz
113636,7e3Cq97NjHGQQk8Kkx7Pq4,Agua Mantra,"Agua Pura 2018 - La Mejor Música con Ruidos de Agua, Ríos y Cascadas para Relajarse y Dormir",Rios y Arroyos,25,401999,False,0.197,0.137,1,-20.976,0,0.0449,0.994,0.957,0.104,0.0377,86.368,4,world-music
16158,3LmYMHpOQaZ8YvgPrXtYJu,Antônio Carlos Jobim,Chill in Brazil,Triste,1,181600,False,0.568,0.396,8,-13.921,1,0.029,0.738,0.159,0.116,0.578,136.489,4,classical
98649,7ooqG9fOVJQsC4V2nsFE9y,Chess In Concert,Chess In Concert,Heaven Help My Heart,23,215920,False,0.266,0.167,2,-16.83,1,0.0506,0.869,5.03e-05,0.699,0.163,100.106,3,show-tunes
110364,7hQvu9NBBRrSHg2U8PBFvl,Berg;Artic,The Godfather,The Godfather,37,315428,False,0.61,0.867,6,-6.246,0,0.0546,0.00162,0.875,0.1,0.219,140.005,4,trance
30476,0wfP2B33qCSh1ovHsmOhNP,ILLENIUM;Sueco;Trippie Redd,"#Multiverse, If the Multiverse Is Real",Story of My Life,0,191124,False,0.521,0.892,3,-4.029,1,0.0433,0.0539,0.0,0.117,0.369,96.991,4,edm
102381,1KQc37jezhunxnOPhvdwSG,Em Beihold,Egg in the Backseat,Numb Little Bug,66,169237,False,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,4,songwriter
87347,20WRrWYgSULYXFtxBcazwU,Joan Sebastian,"Norteño, Vol. 2",Un Cariño Como Tú,47,167903,False,0.832,0.711,3,-6.108,1,0.0552,0.519,5.24e-06,0.0658,0.895,93.104,4,r-n-b
66018,1SvSE3yezb0cJvv81udL8N,The Jamborees,The Wheels On the Bus,Wee Willie Winkie,36,55986,False,0.729,0.203,5,-13.335,1,0.0349,0.786,1.99e-05,0.196,0.909,149.772,3,kids
84980,3r5CAbMLZEWFHQJ2OiDsaU,Selda Bağcan,Türkülerimiz 1,Adaletin Bu mu Dünya,26,185260,False,0.348,0.643,10,-6.063,0,0.0315,0.813,1.85e-05,0.182,0.407,168.658,4,psych-rock
108249,72XdvQJWz7sxczIL6gft00,Juan D'Arienzo;Alberto Echagüe,Milongas para Bailar,Meta Fierro,22,145026,False,0.747,0.597,2,-6.68,1,0.0606,0.929,0.367,0.211,0.892,114.836,4,tango
17067,6w9zusNDxi0gmcH6FrHRtE,Hyper,Cyberpunk EP,FCKD,53,206400,False,0.327,0.853,2,-3.68,1,0.0568,0.00175,0.235,0.208,0.143,99.919,4,club
100034,03DgLHhA7HCUB8aBTNqOwX,Bersuit Vergarabat,Triste Hora,Sencillamente,3,307306,False,0.742,0.613,6,-7.3,0,0.027,0.329,0.000899,0.115,0.966,136.009,4,ska
17159,1HYIxT29a0gtzhqGjVQule,Phil Gonzo,Gang,Gang,44,271081,False,0.752,0.892,0,-6.296,1,0.0354,0.108,0.9,0.147,0.506,115.008,4,club
96510,6xjcuxRKZelJSFoc5DtX5d,RDN;Suel;Ferrugem,"RDN & Amigos, Vol. 1",Meu Sorriso,40,98171,False,0.724,0.446,1,-9.762,1,0.0443,0.256,0.0,0.169,0.612,86.019,4,samba
74999,7tFMXpwIqQTeCpbPjNpM6H,Amelinha,"Mulher Nova, Bonita E Carinhosa, Faz O Homem Gemer Sem Sentir Dor","Mulher Nova, Bonita e Carinhosa Faz o Homem Gemer Sem Sentir Dor",39,355760,False,0.477,0.437,5,-12.441,1,0.0406,0.46,0.0,0.0962,0.248,103.162,4,mpb
95869,7J6qKsRMoeAbeK3Pyd5jeD,Gilberto Santa Rosa,El Caballero De La Salsa - La Historia Tropical,No Quiero Na' Regala'o,27,283280,False,0.792,0.848,9,-6.507,0,0.0355,0.398,1.26e-06,0.0636,0.913,96.319,4,salsa
38125,0b93tWwuoAC0nXe1CfR30I,Arctic Monkeys,Tranquility Base Hotel & Casino,Star Treatment,59,354640,False,0.581,0.767,7,-5.026,0,0.0527,0.243,0.00131,0.141,0.673,120.07,4,garage
24414,7KrnK6HIbnwree958kKLQ1,Juan Atkins;Moritz Von Oswald,Borderland,Electric Garden,9,786423,False,0.615,0.136,1,-16.673,1,0.0753,0.183,0.926,0.203,0.185,120.009,4,detroit-techno
49541,6mzy4MIQ1H8DiyRsJgTcd9,Delete,Alpha Omega,Relentless,22,187354,False,0.596,0.998,9,-2.027,1,0.301,0.149,0.00106,0.212,0.199,155.012,4,hardstyle
113448,0lSwLhBarLwM5XTFmBc8ri,Planetshakers,Nada Es Imposible,Todo mundo de Pie,29,239093,False,0.62,0.9,7,-4.158,1,0.0365,0.00332,0.0,0.0118,0.706,129.999,4,world-music
13686,3U9IfCDiKlVnPytPlQ3ZJZ,Felix Da Housecat;Clarian;Blakk Hazel,Founders of Filth Volume Four,Neon Flyy feat. Blakk Hazel - Original Mix,8,191967,False,0.744,0.592,10,-10.207,0,0.043,0.0947,0.488,0.387,0.687,123.003,4,chicago-house
